cod_municipio,mun,prov_mun,ccaa_mun,pob,lat,lon,tipo,nombre_centro,mun_centro,lat_centro,lon_centro,prov_centro
01003,Aramaio,Araba,País Vasco,1456,43.0459861139606,-2.59363483068513,Rehabilitación y fisioterapia,Organizacion Sanitaria Integrada Debagoiena,Arrasate/Mondragón,43.06316442124435,-2.4832731273616044,Araba
01004,Artziniega,Araba,País Vasco,1809,43.129708736687,-3.14146787361187,Rehabilitación y fisioterapia,Hospital Universitario Cruces,Barakaldo,43.282623850086026,-2.984350205322709,Araba
01006,Armiñón,Araba,País Vasco,231,42.7141143775006,-2.87338762688564,Rehabilitación y fisioterapia,Hospital Universitario Araba (Sede Txagorritxu Y Sede Santiago),Vitoria-Gasteiz,42.85485306382774,-2.6902253312152036,Araba
01009,Asparrena,Araba,País Vasco,1633,42.8942431809473,-2.31600396879419,Rehabilitación y fisioterapia,Hospital de Zumarraga (Osi Goierri - Alto Urola),Zumarraga,43.083676751045296,-2.313203437046193,Araba
01010,Ayala/Aiara,Araba,País Vasco,2951,43.0754914496165,-3.07827451044091,Rehabilitación y fisioterapia,Hospital Universitario Basurto,Bilbao,43.26159835861989,-2.953037849233282,Araba
01013,Barrundia,Araba,País Vasco,895,42.9117237871019,-2.49289819495353,Rehabilitación y fisioterapia,Organizacion Sanitaria Integrada Debagoiena,Arrasate/Mondragón,43.06316442124435,-2.4832731273616044,Araba
01016,Bernedo,Araba,País Vasco,538,42.6939963624643,-2.52365609723798,Rehabilitación y fisioterapia,Hospital de Leza,Laguardia,42.57599403171243,-2.6385307015523387,Araba
01020,Kuartango,Araba,País Vasco,396,42.8957905933884,-2.93560873156525,Rehabilitación y fisioterapia,Hospital Universitario Araba (Sede Txagorritxu Y Sede Santiago),Vitoria-Gasteiz,42.85485306382774,-2.6902253312152036,Araba
01021,Elburgo/Burgelu,Araba,País Vasco,634,42.8650492203606,-2.54720221844233,Rehabilitación y fisioterapia,Hospital Universitario Araba (Sede Txagorritxu Y Sede Santiago),Vitoria-Gasteiz,42.85485306382774,-2.6902253312152036,Araba
01027,Iruraiz-Gauna,Araba,País Vasco,529,42.8227209159448,-2.47618606376213,Rehabilitación y fisioterapia,Hospital Universitario Araba (Sede Txagorritxu Y Sede Santiago),Vitoria-Gasteiz,42.85485306382774,-2.6902253312152036,Araba
